[ INFO ] Sending message (size: 250 bytes)...
[ DEBUG ] Refilling buffer (startSeq: 0, amount: 250)
[ DEBUG ] Last seq in buffer: 249
[ INFO ] Sent packet (seq: 0, data: #, timer: 72358253682000)
[ INFO ] Sent packet (seq: 1, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 2, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 3, data: l, timer: 72358253682000)
[ INFO ] Sent packet (seq: 4, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 5, data: d, timer: 72358253682000)
[ INFO ] Sent packet (seq: 6, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 7, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 8, data: g, timer: 72358253682000)
[ INFO ] Sent packet (seq: 9, data: -, timer: 72358253682000)
[ INFO ] Sent packet (seq: 10, data: w, timer: 72358253682000)
[ INFO ] Sent packet (seq: 11, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 12, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 13, data: d, timer: 72358253682000)
[ INFO ] Sent packet (seq: 14, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 15, data: w, timer: 72358253682000)
[ INFO ] Sent packet (seq: 16, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 17, data: S, timer: 72358253682000)
[ INFO ] Sent packet (seq: 18, data: l, timer: 72358253682000)
[ INFO ] Sent packet (seq: 19, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 20, data: d, timer: 72358253682000)
[ INFO ] Sent packet (seq: 21, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 22, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 23, data: g, timer: 72358253682000)
[ INFO ] Sent packet (seq: 24, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 25, data: W, timer: 72358253682000)
[ INFO ] Sent packet (seq: 26, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 27, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 28, data: d, timer: 72358253682000)
[ INFO ] Sent packet (seq: 29, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 30, data: w, timer: 72358253682000)
[ INFO ] Sent packet (seq: 31, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 32, data: i, timer: 72358253682000)
